,person_id,name,first_name,gender
0,1394470,professor dr. hans-werner fischer-elfert,hans-werner,
1,257249,professor dr. jörg schimmelpfennig,jörg,
2,1052859,professor dr. hellmut fischmeister,hellmut,M
3,1719351,professor dr. stefan wehmeier,stefan,M
4,1098634,professor dr. uwe heinlein,uwe,M
5,5451,professor dr. erik flügel,erik,M
6,66148174,professorin dr. astrid dempfle,astrid,F
7,1242596,professor dr.-ing. peter ruge,peter,M
8,1639776,professor dr. eckhart hellmuth,eckhart,M
9,1637967,professor dr. tilman pfau,tilman,M
10,290567743,dr.-ing. thilo grove,thilo,M
11,162738104,dr. milan orlita,milan,M
12,30572829,dr. jens-uwe franck,jens-uwe,
13,1726416,privatdozent dr. bernd könig,bernd,M
14,1716275,professor dr. michael lässig,michael,M
15,1178828,professor dr. rudolf mathar,rudolf,M
16,1759736,professor dr. klemens rottner,klemens,M
17,1643010,professor dr.-ing. manfred berroth,manfred,M
18,1669445,professor dr. oliver grau,oliver,M
19,1231364,"professor dr. guido reifenberger, ph.d.","reifenberger,",
20,50888965,professor dr. christian schwens,christian,M
21,1554461,privatdozent dr. ulrich schade,ulrich,M
22,1433166,dr. h.g.o.m. smid,h.g.o.m.,
23,48144925,privatdozent dr. bernd evert,bernd,M
24,236747435,dr. alexandra esther,alexandra,F
25,392389870,dr.-ing. matthias rungger,matthias,M
26,1147851,professor dr. jan-kristian krüger,jan-kristian,
27,1086286,professor dr. alfred hamerle,alfred,M
28,1295929,professor dr. holm sundhaussen,holm,M
29,1461431,dr. lars jenne,lars,M
30,68257582,dr. jennifer schär,jennifer,F
31,1127088,professor dr. holger kantz,holger,M
32,20804994,professor dr. michael r. buchmeiser,r.,
33,157898487,dr. sebastian wolf,sebastian,M
34,249089014,dr. juan manuel borrero,manuel,M
35,1369275,privatdozent dr. raymund e. horch,e.,
36,1775296,professor dr. michael breuß,michael,M
37,1853234,privatdozent dr. andreas gaumann,andreas,M
38,1665875,joachim palutzki,joachim,M
39,1726860,dr. annette kinder,annette,F
40,1087040,professor dr.-ing. dieter hänel,dieter,M
41,325194798,"dr. hannah uckelmann, ph.d.","uckelmann,",
42,290887589,professor dr. david von mayenburg,von,M
43,1011456,privatdozent dr. michael bordag,michael,M
44,261085734,privatdozent dr. denes sexty,denes,M
45,1194261,professor dr. wolfgang müller-klieser,wolfgang,M
46,1246125,"professor dr. agapios sachinidis, ph.d.","sachinidis,",
47,1579603,professor dr. jóska gerendás,jóska,
48,175470239,professor dr.-ing. lutz rissing,lutz,M
49,270941672,privatdozentin dr. laura kranaster,laura,F
50,1235186,dr. hans georg richter,georg,M
51,262314748,dr. andrea mues,andrea,F
52,314856844,dr. björn krenz,björn,
53,1886694,professorin dr. renée schroeder,renée,
54,1793396,professor dr. björn a.t. petersson,a.t.,
55,245660590,dr. carolin lerchenmüller,carolin,F
56,1637304,dr. wolfgang moersig,wolfgang,M
57,253567551,dr. chris thomale,chris,M
58,1439457,professor dr. günther b. hartl,b.,
59,1378493,professor dr. günter albrecht,günter,
60,1812202,privatdozent dr. martin be ker,be,?
61,1802924,privatdozent dr. jörg stypmann,jörg,
62,221048223,professor dr. alain tissier,alain,M
63,188520504,"professor dr. martin karlsson, ph.d.","karlsson,",
64,1819061,professorin dr. cornelia koppetsch,cornelia,F
65,1349297,professor dr. dieter vogt,dieter,M
66,1709828,professorin dr. britta brügger,britta,F
67,111392431,professor dr. dirk wicke,dirk,M
68,1103206,professor dr. robert hinderling,robert,M
69,148215360,dr.-ing. michael emonts,michael,M
70,1738824,professor dr. nicolai lehnert,nicolai,M
71,366802254,dr. xiangchan zhu,xiangchan,
72,275574589,dr. jochen schmidt,jochen,M
73,1721772,professor dr. matthias schmidt,matthias,M
74,277599635,dr. alexander ivanov,alexander,M
75,1789835,professor dr. markus ploner,markus,M
76,245012431,"dr. henning hofmann, ph.d.","hofmann,",
77,1787180,professor dr. thomas zack,thomas,M
78,1800671,dr. alfonz luca,alfonz,M
79,1378953,professor dr. gerd bacher,gerd,M
80,1041594,dr. bernhard ehlers,bernhard,M
81,1104774,professor dr. michael hietschold,michael,M
82,58651833,dr. kerstin böse,kerstin,F
83,50069767,somsak wathanaprida,somsak,M
84,1696597,professor dr. christian dobel,christian,M
85,1607727,professor dr.-ing. georg-peter ostermeyer,georg-peter,
86,1868199,professor dr. thomas kuner,thomas,M
87,1726075,professor dr. alexander shnirman,alexander,M
88,68727967,privatdozent dr. friedrich esch,friedrich,M
89,452622,"dr. mike francke, ph.d.","francke,",
90,259329972,privatdozentin dr. edith hintermann,edith,F
91,1312431,dr. beate völksch,beate,F
92,1240315,dr. stefan roth,stefan,M
93,6909,professor dr. rainer kahsnitz,rainer,M
94,66127303,dr. esther barrena,esther,F
95,1625203,professorin dr. susanne foitzik,susanne,F
96,1753819,dr. angela borgwardt,angela,F
97,233899826,dr. nicolas gisch,nicolas,M
98,273942251,privatdozent dr. friedemann stengel,friedemann,M
99,1714015,professor dr. stefan smesny,stefan,M
100,160178051,dr. andreas hüttel,andreas,M
101,58918504,dr.-ing. ingo kampen,ingo,M
102,1703793,professor dr. jens kockskämper,jens,M
103,126893685,professor dr. marco spaans,marco,M
