,institution_id,person_id,project_count,person_gender_index,name,first_name,gender
0,5000,1416717,1,,dr. harald leisch,harald,M
1,5000,207511689,1,,dr. katharina hartmann,katharina,F
2,5000,179128865,1,,dr. francesca paola anna fabbiani,anna,F
3,5000,1795238,2,,dr. ellen reister,ellen,F
4,5000,1684643,2,,dr. gunter merdes,gunter,M
5,10045,1682409,6,0.125,professor dr. martin peitz,martin,M
6,10045,1714579,7,0.3036075036075036,professor dr. thorsten meiser,thorsten,M
7,10045,1860300,7,0.07936507936507937,professor dr. ernst maug,ernst,M
8,10045,1321279,7,0.11904761904761905,professor dr. martin weber,martin,M
9,10045,1505694,7,0.0,professor dr. thomas könig,thomas,M
10,10045,1430235,7,0.6666666666666666,professor dr. jan willem van deth,van,?
11,10045,1346771,7,0.5,professor dr. herbert bless,herbert,M
12,10045,1772818,8,0.091156462585034,professor dr. thomas gschwend,thomas,M
13,10045,1040827,9,0.1111111111111111,professor dr.-ing. wolfgang effelsberg,wolfgang,M
14,10045,1714135,12,0.2,professor dr. arndt bröder,arndt,M
15,10047,1109892,18,0.15816326530612246,professor dr. thomas w. holstein,w.,
16,10047,5324,18,0.21875,professor dr. bernd bukau,bernd,M
17,10047,1723039,19,0.21218487394957986,professor dr. michael boutros,michael,M
18,10047,1214066,19,0.03571428571428571,professor dr. ernst pernicka,ernst,M
19,10047,1393200,19,0.07849206349206349,professor dr. mario trieloff,mario,M
20,10047,1467615,20,0.08730158730158731,professor dr. matthias bartelmann,matthias,M
21,10047,1328801,20,0.3,professor dr. felix wilhelm theodor wieland,theodor,M
22,10047,989259,21,0.0972689075630252,professor dr. hellmut g. augustin,g.,
23,10047,1023719,24,0.3145502645502646,professor dr. lorenz s. cederbaum,s.,
24,10047,1176368,25,0.06999999999999999,professor dr. augusto mangini,augusto,M
25,10049,6662,8,0.12368024132730016,professor dr. jürgen zeddies,jürgen,
26,10049,1519841,8,0.08609625668449197,professor dr. joachim müller,joachim,M
27,10049,13859901,8,0.3333333333333333,professor dr. jörn bennewitz,jörn,
28,10049,426928,9,0.3235294117647059,professor dr. albrecht e. melchinger,e.,
29,10049,1756162,9,0.12122877122877122,professor dr. volker wulfmeyer,volker,M
30,10049,1005641,10,,professor dr. martin blum,martin,M
31,10049,1413634,11,0.09099639855942376,professor dr. thilo streck,thilo,M
32,10049,1622560,11,0.0,professor dr. hans-peter piepho,hans-peter,
33,10049,1647464,14,0.3942307692307692,professorin dr. ellen kandeler,ellen,F
34,10049,1285762,14,0.17138009049773753,professor dr. karl stahr,karl,M
35,10051,60331789,16,,dr. marianne dörr,marianne,F
36,10051,1122826,16,,professor dr. gerd jürgens,gerd,M
37,10051,1475985,19,0.13333333333333333,professor dr. nicholas j. conard,j.,
38,10051,1078189,19,0.048979591836734684,professor dr. peter grathwohl,peter,M
39,10051,1216021,21,0.16666666666666666,professor dr. peter pfälzner,peter,M
40,10051,1361426,21,0.13333333333333333,professor dr. klaus harter,klaus,M
41,10051,1766661,25,0.18333333333333332,professor dr. andreas kappler,andreas,M
42,10051,988792,29,0.09090909090909093,professor dr. erwin appel,erwin,M
43,10051,1002572,31,0.14938186813186813,professor dr. niels birbaumer,niels,M
44,10051,5653,35,0.06666666666666668,professor dr. christoph hemleben,christoph,M
45,10053,1609405,13,0.2050395256916996,professor dr. christof robert hauck,robert,M
46,10053,1413116,15,0.12529644268774706,professor dr. marcus groettrup,marcus,M
47,10053,6485,16,0.9,professorin dr. claudia stürmer,claudia,F
48,10053,5888,16,0.08333333333333333,professor dr. paul leiderer,paul,M
49,10053,1284491,16,0.04,professor dr. wolfgang spohn,wolfgang,M
50,10053,1064229,16,0.16666666666666666,professor dr. gerd ganteför,gerd,M
51,10053,1176331,17,0.075,professor dr. georg maret,georg,M
52,10053,1621603,17,0.019230769230769232,professor dr. axel meyer,axel,M
53,10053,1475890,19,0.17681159420289855,professor dr. helmut cölfen,helmut,M
54,10053,1678861,22,0.09178743961352658,professor dr. andreas marx,andreas,M
55,10055,1595387,16,0.1,professor dr. matthias boll,matthias,M
56,10055,1395277,16,0.5532967032967033,professorin dr. kerstin krieglstein,kerstin,F
57,10055,1712314,16,0.08333333333333333,professor dr. rolf backofen,rolf,M
58,10055,1430419,17,0.11684782608695653,professor dr. bernd fakler,bernd,M
59,10055,1679902,17,,professor dr. ingo krossing,ingo,M
60,10055,1228834,17,0.09375,professor dr. heinz rennenberg,heinz,M
61,10055,1160091,20,0.20018115942028986,professor dr. thomas laux,thomas,M
62,10055,1465511,23,0.061904761904761914,professor dr. oliver ambacher,oliver,M
63,10055,987913,25,0.14285714285714285,professor dr. klaus aktories,klaus,M
64,10055,1098615,39,0.5,professor dr. ulrich herbert,ulrich,M
65,10057,1821168,13,0.09199134199134197,professor dr. jens michaelis,jens,M
66,10057,1329722,13,0.22402597402597405,professor dr. thomas wirth,thomas,M
67,10057,1180481,13,,professorin dr. anita marchfelder,anita,F
68,10057,1340362,14,0.11666666666666665,professor dr. paul ziemann,paul,M
69,10057,1379072,14,0.0,professor dr. rolf jürgen behm,jürgen,
70,10057,68523205,14,0.15665584415584416,professor dr. hartmut geiger,hartmut,M
71,10057,1488882,15,0.0,professor dr. axel groß,axel,M
72,10057,1798196,16,0.09375,professor dr. fedor jelezko,fedor,M
73,10057,1501100,21,0.4222222222222223,professorin dr. ute kaiser,ute,F
74,10057,1010085,23,0.0,professor dr.-ing. martin bossert,martin,M
75,10059,1147946,22,0.0,professor dr.-ing. bernd-helmut kröplin,bernd-helmut,
76,10059,6585,23,0.1,professor dr.-ing. engelbert westkämper,engelbert,M
77,10059,1221616,24,0.0,professor dr.-ing. günter pritschow,günter,
78,10059,18183306,25,0.09083333333333334,professor dr.-ing. alexander verl,alexander,M
79,10059,17608706,25,0.04722222222222222,professor dr.-ing. mathias liewald,mathias,M
80,10059,1208753,26,0.013888888888888886,professor dr. wolfgang osten,wolfgang,M
81,10059,1554846,29,0.019444444444444445,professor dr. thomas ertl,thomas,M
82,10059,1037504,30,0.13571428571428573,professor dr. martin dressel,martin,M
83,10059,1259111,36,0.0,professor dr. siegfried schmauder,siegfried,M
84,10059,1099245,58,0.0,professor dr.-ing. uwe heisel,uwe,M
85,10063,282109509,1,0.0,dr. armin baur,armin,M
86,10063,218147157,1,,professorin dr. katja boehme,katja,F
87,10063,1826403,1,0.0,professor dr. alexander siegmund,alexander,M
88,10063,1712735,1,,professor dr. reinhard mehring,reinhard,M
89,10063,1264208,1,,professor dr. hermann schöler,hermann,M
90,10063,1169825,1,,professor dr. jens holger lorenz,holger,M
91,10063,161426360,2,,privatdozent dr. filippo carlà-uhink,filippo,M
92,10063,1435920,3,,professor dr. jürgen cholewa,jürgen,
93,10064,282109577,1,0.0,professor dr. markus emden,markus,M
94,10064,250560595,1,,dr. margarete menz,margarete,F
95,10064,31045735,1,,professor dr. carsten heinze,carsten,M
96,10064,1792647,1,,professor dr. gerhard fritz,gerhard,M
97,10064,1344294,1,,professor dr. andreas benk,andreas,M
98,10064,38334914,3,0.3333333333333333,professor dr. uwe maier,uwe,M
99,10065,1697741,1,,dr. jörg michael kastl,michael,M
100,10065,342186655,1,,professor dr. stephan gingelmaier,stephan,M
101,10065,200757115,1,,privatdozent dr. tobias tempel,tobias,M
102,10065,196025018,1,,professorin dr. sabine reuker,sabine,F
103,10065,87058080,1,0.3333333333333333,dr. kerstin metz,kerstin,F
104,10065,23609350,1,,professor dr. marco ennemoser,marco,M
105,10065,1708411,1,,professor dr. erich starauschek,erich,M
106,10065,1529675,1,,professorin dr. barbara reichle,barbara,F
107,10065,1180512,2,0.3333333333333333,professorin dr. laura martignon,laura,F
108,10066,1759043,1,,professor dr. till pfeiffer,till,M
109,10066,1389494,1,,professorin dr. annette miriam stroß,miriam,F
110,10066,1395674,5,,professor dr. joachim weinhardt,joachim,M
111,10067,279497050,1,,dr. manfred nusseck,manfred,M
112,10068,1723383,1,,professor dr. bernd-stefan grewe,bernd-stefan,
113,10068,1645147,1,,professor dr. thomas martin buck,martin,M
114,10068,1702481,1,,dr. stefan wahl,stefan,M
115,10068,1789413,1,,dr. bernd remmele,bernd,M
116,10068,207946403,2,0.2222222222222222,professor dr. jens clausen,jens,M
117,10068,244787019,2,0.4318181818181819,professor dr. andreas obersteiner,andreas,M
118,10068,1794060,2,,professorin dr. susanne koerber,susanne,F
119,10068,1727833,2,,professor dr. christoph mischo,christoph,M
120,10068,26479394,3,0.2142857142857143,professor dr. markus antonius wirtz,antonius,M
121,10068,1460911,4,,professor dr. rolf plötzner,rolf,M
122,10069,274386321,1,,professorin dr. sarah lukas,sarah,F
123,10069,1607556,1,,professorin dr. karin schweizer,karin,F
124,10070,273123609,2,,professor dr.-ing. martin fuchs,martin,M
125,10070,252016255,2,0.0,professor dr. kai eckert,kai,?
126,10071,281497638,1,,professor dr.-ing. jan cremers,jan,M
127,10071,216140365,1,,professorin dr. annegret weng,annegret,F
128,10071,76346568,1,,professor dr. paul rawiel,paul,M
129,10072,220663219,1,,dr. ralf schreck,ralf,M
130,10072,1803421,3,,professor dr. norbert schaschke,norbert,M
131,10072,1802238,4,,dr.-ing. alwin nagel,alwin,M
132,10073,208029019,1,,professorin dr. alexandra reichenbach,alexandra,F
133,10073,9598539,1,,professor dr.-ing. august burr,august,M
134,10073,1755957,3,0.1,professor dr. rolf bendl,rolf,M
135,10073,1853159,3,0.16666666666666666,professorin dr.-ing. jennifer niessner,jennifer,F
136,10074,158888744,1,,professor dr.-ing. sascha röck,sascha,M
137,10074,1710495,1,,professor dr.-ing. nikolas apel,nikolas,M
138,10074,1346379,1,,professor dr. christian maercker,christian,M
139,10074,1191475,1,0.2,professor dr. kurt möller,kurt,M
140,10074,1104966,1,,professorin dr. renate hiesgen,renate,F
141,10074,1035020,1,,dr.-ing. joachim domnick,joachim,M
142,10074,234727766,1,,professorin astrid beck,astrid,F
143,10074,1458394,2,0.16666666666666666,professor dr. thomas heidenreich,thomas,M
144,10075,279352087,1,,"professor dr. martin sulzmann, ph.d.","sulzmann,",
145,10075,1872885,2,0.3333333333333333,professorin dr. sabine maria weygand,maria,F
146,10075,1624343,2,0.0,professor dr. dieter höpfel,dieter,M
147,10075,1602892,2,,professor dr. christof krülle,christof,M
148,10076,51339439,1,,professor dr.-ing. jürgen freudenberger,jürgen,
149,10078,1592925,1,,dr. stephen earl buckwalter,earl,M
150,10078,106495669,1,,professor dr. thomas städtler,thomas,M
151,10078,1704251,1,,katharina falkson,katharina,F
152,10078,1612091,1,,professor dr. thomas gerhard wilhelmi,gerhard,M
153,10078,1808185,2,,professor dr. andreas deutsch,andreas,M
154,10078,1085564,3,,professor dr. harald hauptmann,harald,M
155,10080,1581840,2,0.0,professor dr. dietrich oberwittler,dietrich,M
156,10080,988373,4,0.5,professor dr. hans-jörg albrecht,hans-jörg,
157,10081,1371939,2,,privatdozent dr. conrad christian bleul,christian,M
158,10081,1120579,2,,professor dr. thomas jenuwein,thomas,M
159,10081,316869138,2,,"dr. ritwick sawarkar, ph.d.","sawarkar,",
160,10081,320291303,2,0.3333333333333333,dr. dominic grün,dominic,M
161,10081,263499558,2,,"dr. john andrew pospisilik, ph.d.","pospisilik,",
162,10081,226007942,2,0.16666666666666666,dr. thomas manke,thomas,M
163,10081,248768829,3,0.0,dr. tim lämmermann,tim,M
164,10081,1011550,6,0.0,dr. thomas boehm,thomas,M
165,10081,1760472,7,0.23369565217391305,"dr. asifa akhtar, ph.d.","akhtar,",
166,10081,455651,7,0.21739130434782608,professor dr. rudolf grosschedl,rudolf,M
167,10082,174325133,2,0.0,dr. glenn van de ven,de,?
168,10082,1597572,3,0.0,privatdozent dr. christian fendt,christian,M
169,10082,1855738,4,0.0,dr. fabian walter,fabian,M
170,10082,1755072,4,0.5833333333333333,dr. coryn a.l. bailer-jones,a.l.,
171,10082,1734598,4,0.06666666666666668,professor dr. henrik beuther,henrik,M
172,10082,1625823,4,,dr. eva schinnerer,eva,F
173,10082,1184283,4,0.0,professor dr. klaus winfried meisenheimer,winfried,M
174,10082,1531240,6,0.12222222222222225,professor dr. hans-walter rix,hans-walter,
175,10082,1714694,10,0.11666666666666665,professor dr. h. hubertus klahr,hubertus,M
176,10082,1100600,23,0.22013888888888888,professor dr. thomas henning,thomas,M
177,10083,288481491,1,,dr. anuscheh farahat,anuscheh,
178,10083,1523580,1,0.3333333333333333,dr. karin oellers-frahm,karin,F
179,10083,1411635,1,,professorin dr. anne peters,anne,F
180,10083,1011406,2,,professor dr. armin von bogdandy,von,M
181,10084,166587115,2,1.0,privatdozent dr. jörg evers,jörg,
182,10084,104713684,2,,"dr. xueguang ren, ph.d.","ren,",
183,10084,1108277,2,0.0972222222222222,professor dr. werner hofmann,werner,M
184,10084,1760867,2,,privatdozent dr. bernold feuerstein,bernold,M
185,10084,1400741,3,0.0,professor dr. eberhard grün,eberhard,M
186,10084,1644133,3,0.0,privatdozent dr. josé ramón crespo lópez-urrutia,crespo,
187,10084,1597008,4,0.5555555555555556,professor dr. christoph h. keitel,h.,
188,10084,1818342,4,0.5,dr. werner rodejohann,werner,M
189,10084,34077527,5,0.037037037037037035,professor dr. klaus blaum,klaus,M
190,10084,1167862,5,0.037037037037037035,professor dr. manfred b. lindner,b.,
191,10085,1121957,1,,professor dr. kai johnsson,kai,?
192,10085,19965316,2,,dr. anton meinhart,anton,M
193,10085,1106047,2,,professor dr. kenneth c. holmes,c.,
194,10085,1327648,3,0.3611111111111111,professor dr. veit witzemann,veit,M
195,10085,1440389,3,,privatdozent dr. joachim reinstein,joachim,M
196,10085,1640210,4,0.0,dr. rolf sprengel,rolf,M
